policy,ok,fail,sent,success_rate,elapsed_s,rps,input_tok_s,output_tok_s,ttft_p50,ttft_p95,ttft_p99,ttft_max,ttft_avg,e2e_p50,e2e_p95,e2e_p99,itl_p50,itl_p95,avg_input_tokens,avg_output_tokens,total_input_tokens,partial
gorgo-autotune,4076,741,4817,0.8461698152376999,1849.9551783890001,2.6038468695197237,8581.42682885143,482.9571064408403,0.293705831,1.658068856,2.427597099,4.176077267,0.5407578981184985,2.082426031,5.678125336,32.829766579,12.540117346456693,25.601105615384615,3894.8123159960746,219.19749754661433,15875255,False
gorgo-hillclimb,4065,752,4817,0.8438862362466265,1893.641026239,2.543776741871264,8390.953607272852,482.255077570727,0.288245792,1.466204215,2.306983788,4.393433465,0.47735303236703563,1.875848507,6.087210961,34.04303949,11.55944125984252,22.159448661417322,3908.8447724477246,224.65387453874538,15889454,False
gorgo-static,4076,741,4817,0.8461698152376999,1865.408733042,2.582275891967503,8535.824732649355,487.0476823159292,0.298725612,1.605333065,2.356932677,4.157266535,0.5215438093093719,2.061706199,6.028943075,38.030049297,12.41401335433071,25.669099433333333,3906.4774288518156,222.9006378802748,15922802,False
least-load,4066,751,4817,0.8440938343367241,1872.767127417,2.5721297269051338,8480.04152118152,469.6590340162203,0.296657973,1.728172413,2.628640296,4.64117068,0.5498159614080177,2.085870171,6.859372275,32.502749163,12.444715055118111,29.181764559055118,3905.8393999016234,216.32120019675358,15881143,False
least-request,4074,743,4817,0.8457546190575047,1845.910984717,2.6095516197052713,8619.186478506834,492.1082368114661,0.292646808,1.631879658,2.355352651,13.713404426,0.5115341644359352,1.644797886,5.657928262,38.47142268,10.052071866141732,21.536877417322835,3905.314432989691,222.9720176730486,15910251,False
prefix-cache,4075,742,4817,0.8459622171476022,1863.575251018,2.584816468972024,8519.803528903294,489.0422318616622,0.297389939,1.653725917,3.017044776,5.96301249,0.5406013272539878,1.884600415,8.446341056,37.782634461,11.286370764044943,27.01360376377953,3896.2687116564416,223.64834355828222,15877295,False
random,4076,741,4817,0.8461698152376999,1843.534361705,2.6129157666174327,8633.404036624544,464.7306921947656,0.296347555,1.828064617,3.17060239,28.986918255,0.6261686838118253,1.703307872,7.892087706,35.249302005,10.110725748031495,23.702912291338585,3904.80299313052,210.19308145240433,15915977,False
simple-session-affinity,4054,763,4817,0.8416026572555533,1862.699321118,2.5860319727334287,8488.756516274227,473.03125631202306,0.329146982,1.481566748,2.803647171,14.960937391,0.5742121196489887,2.042016329,6.120186122,35.714321389,12.27719316535433,20.839124968503935,3900.345584607795,217.34459792797236,15812001,False
