policy,ok,fail,sent,success_rate,elapsed_s,rps,input_tok_s,output_tok_s,ttft_p50,ttft_p95,ttft_p99,ttft_max,ttft_avg,e2e_p50,e2e_p95,e2e_p99,itl_p50,itl_p95,avg_input_tokens,avg_output_tokens,total_input_tokens,partial
gorgo-autotune,20451,69,20520,0.9966374269005848,3690.4889634700003,5.560238820144301,4649.690371615574,709.1922035011596,0.541413717,3.582521069,6.43832829,12.550857841,0.9499297052452204,4.123435402,12.633189138,15.448094268,26.571108574803148,89.1011435984252,839.0607305266246,127.97740941763239,17159631,False
gorgo-hillclimb,20473,47,20520,0.9977095516569201,2526.436153793,8.122113028343433,6802.005257168282,1037.0299665267794,0.54062783,1.325031484,2.653885928,7.05130683,0.6313791554049236,3.367155513,9.359562899,11.68019218,21.825311417322833,66.75738003937008,839.3900258877546,127.97293996971621,17184832,False
gorgo-static,20462,58,20520,0.9971734892787525,2598.869622825,7.895740447993129,6608.0636939887045,1007.5595855222796,0.708861479,1.931798284,3.969384112,60.183241217,0.8721233533188839,3.397590062,9.852911935,12.013221267,20.15697701574803,70.01525833070866,839.2872641970482,127.9696999315805,17173496,False
least-load,20484,36,20520,0.9982456140350877,2416.125401833,8.49293665984077,7117.364846606832,1084.8907089058355,0.531895443,1.217434836,2.534644275,8.284128987,0.6091384126886351,3.343732103,7.91391826,11.072862415,21.639697307086614,56.812969881889764,839.5062487795352,127.96485061511423,17196446,False
least-request,20517,3,20520,0.9998538011695907,2021.538603519,10.150684218584667,8518.451722872653,1298.704360841717,0.480129766,1.035959509,1.731299201,110.454721062,0.5442969248815616,3.098688241,4.099203659,4.813641824,20.330888488188975,27.963221047244094,839.3224642978993,127.96125164497734,17220379,False
prefix-cache,20504,16,20520,0.9992202729044835,2501.777054192,8.202169719966255,6876.204244968572,1048.8640447010105,0.49655394,1.186231202,2.588291826,10.633804225,0.5805615022809207,3.547940725,7.877115842,13.008831804,23.59165133070866,50.830530377952755,838.9938548575888,127.97619976589934,17202730,False
random,20436,84,20520,0.995906432748538,2474.259390972,8.293390771748804,6934.6241799084555,1056.8988884276578,0.420749876,1.07661823,1.796357253,15.821756322,0.5040027777487277,3.412118306,8.28145191,13.508236081,23.00300475590551,59.426779188976376,839.5996770405168,127.96251712663927,17158059,False
simple-session-affinity,20447,73,20520,0.9964424951267057,2648.9237161009996,7.7465424448703155,6477.352252806736,987.8234635807195,0.415714734,1.025414658,1.712477723,7.75046599,0.4899563490340882,3.380140286,11.567970616,14.133425553,22.706185472440946,86.74800038582677,839.1456937448037,127.97324790922873,17158012,False
