replica,region,elapsed_min,network_rtt_ms,scrape_ms,num_running_reqs
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,29.516,21.1,22.8,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,30.019,21.7,26.4,2
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,30.529,22.4,20.5,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,31.045,23.9,30.7,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,31.561,27.5,38.0,0
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,-0.0,498.7,299.5,0
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,0.516,382.7,114.3,3
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,1.032,356.7,112.8,7
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,1.545,282.5,110.5,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,2.048,230.3,110.1,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,2.564,321.2,352.0,4
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,3.073,261.6,125.5,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,3.583,214.1,114.7,3
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,4.086,242.5,116.3,3
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,4.591,199.8,112.6,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,5.102,230.6,116.7,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,5.619,334.4,380.8,4
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,6.128,265.1,116.5,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,6.634,221.5,110.2,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,7.144,188.5,113.1,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,7.648,224.2,113.7,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,8.158,189.1,108.3,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,8.667,165.0,113.9,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,9.171,149.4,112.9,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,9.674,194.5,109.9,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,10.179,169.3,109.6,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,10.689,262.5,299.8,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,11.208,327.1,301.5,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,11.716,318.2,299.4,3
