policy,ok,fail,sent,success_rate,elapsed_s,rps,input_tok_s,output_tok_s,ttft_p50,ttft_p95,ttft_p99,ttft_max,ttft_avg,e2e_p50,e2e_p95,e2e_p99,itl_p50,itl_p95,avg_input_tokens,avg_output_tokens,total_input_tokens,partial
gorgo-autotune,2466,288,2754,0.8954248366013072,1828.9757721199999,1.5057607880763708,4452.7150791944305,218.3429688284569,0.263687631,1.576023506,2.305544297,3.239459889,0.46022318509367394,1.628855926,3.708815605,13.128231032,9.659861842519684,20.147948255813954,3302.476885644769,161.93998377939982,8143908,False
gorgo-hillclimb,2468,286,2754,0.8961510530137982,1831.232980297,1.5039047623275876,4480.577888384944,212.2231328189435,0.283345582,1.415549596,2.117887146,4.142870942,0.4534342979841977,1.553644508,3.370039462,13.710587215,9.118482085714286,17.646896283464567,3324.5470016207455,157.467585089141,8204982,False
gorgo-static,2462,292,2754,0.8939724037763254,1798.662984135,1.531137308262578,4569.5230693551175,212.71967198680218,0.329251282,1.386679513,1.946544274,3.455206247,0.5384454437311129,1.603069416,3.272927727,8.945308076,9.130280362204724,14.478550133858269,3338.3558082859463,155.40658001624695,8219032,False
least-load,2467,287,2754,0.8957879448075526,1816.089394715,1.5164451750086823,4517.579379008218,213.93770655269546,0.279157305,1.689713498,2.363727315,3.351827324,0.5004709461807864,1.56521771,3.55010292,11.079467598,9.015310787401575,18.958193785714286,3325.6295095257396,157.4908796108634,8204328,False
least-request,2465,289,2754,0.8950617283950617,1798.860381266,1.530969289602005,4563.048408583651,205.54235551053904,0.284874448,1.621986986,2.29275952,3.307071177,0.4809004690555781,1.359065123,3.273119136,11.068597337,8.303433362204725,14.050402934782609,3329.933874239351,149.9967545638945,8208287,False
prefix-cache,2460,294,2754,0.8932461873638344,1800.636285717,1.5294593482566512,4522.093142623558,203.77130179507407,0.277345064,1.739766496,2.529975507,15.005782652,0.5262194220414634,1.457963021,3.906541173,12.596836047,8.89067895049505,16.926717937007872,3310.018292682927,149.15365853658537,8142645,False
random,2461,293,2754,0.8936092955700798,1800.064446218,1.5299452226759174,4510.488508930148,211.5896465819499,0.282360704,1.609993892,2.305649794,3.179490617,0.501579785901666,1.426872125,3.477225531,9.656690108,8.367636299212599,16.139773946428573,3299.134498171475,154.76432344575375,8119170,False
simple-session-affinity,2462,292,2754,0.8939724037763254,1821.9855356550001,1.5115377955017313,4508.810217885033,211.1273621399588,0.327308934,1.435026748,2.038847624,2.878020336,0.547032353721771,1.621894737,3.429490917,13.284555021,9.364419826771654,15.78572887401575,3336.71283509342,156.2432981316003,8214987,False
