policy,ok,fail,sent,success_rate,elapsed_s,rps,input_tok_s,output_tok_s,ttft_p50,ttft_p95,ttft_p99,ttft_max,ttft_avg,e2e_p50,e2e_p95,e2e_p99,itl_p50,itl_p95,avg_input_tokens,avg_output_tokens,total_input_tokens,partial
gorgo-autotune,2469,285,2754,0.8965141612200436,1820.750487845,1.5125630987799836,4500.217385468323,213.50316948705,0.280210025,1.689546227,2.297739169,18.835727743,0.49524503322397734,1.604311631,3.441325951,13.580330481,9.417034503937007,18.90637116535433,3318.6605913325234,157.44673957067639,8193773,False
gorgo-hillclimb,2466,288,2754,0.8954248366013072,1798.7589714609999,1.5310556020538582,4534.28954596146,208.31807148438978,0.280843477,1.330767277,1.831508651,3.050104188,0.42032743879278184,1.590803059,3.286760501,11.156059842,9.589750881188118,17.375196858267717,3307.418491484185,151.9521492295215,8156094,False
gorgo-static,2472,282,2754,0.8976034858387799,1817.279747722,1.5154518744030463,4481.500446042421,205.23807656335376,0.178530507,1.42715318,2.3023205,4.064308643,0.39156259917030745,1.565901278,3.339949411,10.462955566,9.764734267716534,16.816022653543307,3294.55501618123,150.87985436893203,8144140,False
least-load,2465,289,2754,0.8950617283950617,1800.1252453020002,1.5298935489002443,4532.465738866516,208.59159715689967,0.28108327,1.700117828,2.290259393,2.984247704,0.5011987864300202,1.63850208,3.658966717,13.099946022,9.584311897637795,20.882770267716538,3309.9415821501016,152.3290060851927,8159006,False
least-request,2465,289,2754,0.8950617283950617,1813.920678924,1.5182582303618954,4522.782663719626,203.89480328290364,0.280512398,1.604755906,2.268105167,4.159928297,0.48273782067423937,1.342306823,3.324795861,11.239595941,8.179562062992126,14.313026826771653,3328.1821501014197,150.0401622718053,8203969,False
prefix-cache,2468,286,2754,0.8961510530137982,1798.78775874,1.5310310994828533,4558.9708736645525,207.61815738706096,0.287900172,1.393858852,1.991589209,2.945377343,0.45949758254943274,1.492076025,3.58523558,13.02469121,8.834663415730336,17.53236564566929,3322.7799837925445,151.32131280388978,8200621,False
random,2460,294,2754,0.8932461873638344,1827.9763514019999,1.5065840419039171,4469.776096246198,207.06449495897232,0.287467704,1.723526853,2.356574342,4.001227906,0.519869404403252,1.405572158,3.82650211,12.780686907,8.314961192660551,17.11227978666667,3321.400406504065,153.86544715447155,8170645,False
