policy,ok,fail,sent,success_rate,elapsed_s,rps,input_tok_s,output_tok_s,ttft_p50,ttft_p95,ttft_p99,ttft_max,ttft_avg,e2e_p50,e2e_p95,e2e_p99,itl_p50,itl_p95,avg_input_tokens,avg_output_tokens,total_input_tokens,partial
gorgo-hillclimb,4082,735,4817,0.8474154037782853,1848.4463045660002,2.605972371553953,8612.438976818315,500.6978010201399,0.284972969,0.983912715,1.737104991,4.239144849,0.4118341608591377,1.54413248,8.529191542,31.590061117,9.25102735433071,23.78524046456693,3899.958598726115,226.73027927486527,15919631,False
least-request,4074,743,4817,0.8457546190575047,1839.1434070910002,2.6191541026260254,8636.854493649633,486.8038003714524,0.316383081,1.142897594,1.601859212,2.737967759,0.4135504385073637,1.11300402,2.978395927,22.271495213,6.336863771653543,10.145263826771654,3898.9725085910654,219.759941089838,15884414,False
prefix-cache,4073,744,4817,0.8455470209674071,1841.659477584,2.6155758209542794,8617.045763975208,490.0688813460817,0.337109186,1.137365805,1.813991369,5.379827759,0.44982427565455435,1.202415852,3.932896083,25.727269955,6.653235393700788,11.794657356321839,3896.3083722072183,221.59096489074392,15869664,False
simple-session-affinity,4073,744,4817,0.8455470209674071,1840.97670332,2.616545875519808,8658.565842388749,506.57403666117784,0.377783579,1.320604759,1.993626703,4.757516418,0.5744831595394058,1.428424863,3.381964614,26.381250249,7.386682763779527,11.71823309448819,3913.6307390130123,228.96906457156888,15940218,False
