policy,ok,fail,sent,success_rate,elapsed_s,rps,input_tok_s,output_tok_s,ttft_p50,ttft_p95,ttft_p99,ttft_max,ttft_avg,e2e_p50,e2e_p95,e2e_p99,itl_p50,itl_p95,avg_input_tokens,avg_output_tokens,total_input_tokens,partial
gorgo-autotune,3377,386,3763,0.8974222694658517,1818.330334645,2.069480956404253,8460.741542324631,313.70647518310574,0.298945963,1.748328094,2.518827599,23.627113236,0.5737025351110453,1.83992209,4.518565188,17.971434449,10.664294354330709,22.747716952755905,4555.647912348238,168.91382884216762,15384423,False
gorgo-hillclimb,3376,387,3763,0.8971565240499602,1823.249388814,2.0638975792816705,8442.490695149934,300.45807411806857,0.225672617,1.581430421,7.18625807,38.28954902,0.575472851909064,1.742004188,4.28257537,16.789652316,10.651217535433071,20.57063329,4559.4686018957345,162.26599526066352,15392766,False
gorgo-static,3372,391,3763,0.8960935423863938,1805.3359078780002,2.0843766434707693,8489.5896287882,315.113656975156,0.192896287,1.399754068,2.139650573,3.365941655,0.4148944615086002,1.600224225,3.490624132,13.829925655,9.8241335234375,17.31132862992126,4545.243475682088,168.70877817319098,15326561,False
least-load,3374,389,3763,0.896625033218177,1808.142889155,2.0811408338190374,8522.184885068042,308.51322832162543,0.308952708,1.734912844,2.419334837,16.911611799,0.5629702338349141,1.881159178,4.59628999,15.262554305,11.034775850393702,24.424980992125985,4567.080023710729,165.33372851215174,15409328,False
least-request,3380,383,3763,0.8982195057135265,1814.072827356,2.0743378894465607,8523.710717026002,301.6113751052985,0.275238582,1.693698652,2.439724849,20.071740004,0.5422973044890532,1.479899249,3.895654606,13.161614635,9.037241543307086,17.53060888976378,4574.743195266272,161.87721893491124,15462632,False
prefix-cache,3376,387,3763,0.8971565240499602,1814.6845738989998,2.0736386114281466,8501.28899638656,306.2973080802395,0.294952955,1.416189766,1.972709169,3.754733685,0.4765255924256517,1.626412674,3.793991921,13.221028539,9.820106637795275,18.647232377952754,4569.655805687204,164.64247630331752,15427158,False
random,3371,392,3763,0.8958277969705023,1809.044270335,2.0801038767852624,8495.9214387572,305.99527555922754,0.308986932,1.69955594,2.420692081,3.989962583,0.5698267416143578,1.605332139,4.445010486,15.073475111,9.512036401574802,20.715916755905514,4559.3289824977755,164.21210323346187,15369498,False
simple-session-affinity,3375,388,3763,0.8968907786340685,1810.1874704390002,2.0787902145225936,8532.54552483131,314.31993055504546,0.323881723,1.531040876,2.487258867,28.07035802,0.5838026902133333,1.849346439,4.046758537,15.536699834,10.635136866141732,18.039045133858266,4576.446518518518,168.58607407407408,15445507,False
