policy,ok,fail,sent,success_rate,elapsed_s,rps,input_tok_s,output_tok_s,ttft_p50,ttft_p95,ttft_p99,ttft_max,ttft_avg,e2e_p50,e2e_p95,e2e_p99,itl_p50,itl_p95,avg_input_tokens,avg_output_tokens,total_input_tokens,partial
gorgo-autotune,3578,630,4208,0.8502851711026616,1834.8847974770001,2.2933319878098484,9238.273717951211,380.3404992834422,0.368123408,1.88777815,3.001423267,5.697850987,0.6296830058001677,2.023626987,6.32496909,24.37562993,11.7296641496063,28.093268384615385,4737.609837898267,195.0477920626048,16951168,False
gorgo-hillclimb,3583,625,4208,0.8514733840304183,1810.714699508,2.3239442420958865,9413.8971780765,398.1030253942638,0.333510425,1.534552346,2.594920043,12.678401614,0.5403091994786492,1.824066852,8.324215363,24.411921917,10.680793795454546,25.91872243037975,4757.432877476975,201.18643594753001,17045882,False
gorgo-static,3573,635,4208,0.8490969581749049,1838.178839604,2.289222304890928,9250.899658742323,382.96654538339413,0.293975067,1.509617947,2.79052477,15.260072752,0.525590804311503,1.776308345,5.382066062,22.539755965,10.517365566929135,21.665540488188977,4759.25216904562,197.02239014833472,17004808,False
least-load,3580,628,4208,0.8507604562737643,1826.5860867489998,2.3037512606315182,9287.228301510158,405.5735480381982,0.363313803,1.813008715,2.658518384,3.840083172,0.6013979748684358,2.069797095,5.744753354,29.016324499,11.833464645669292,29.92809574015748,4738.525698324022,206.93156424581005,16963922,False
least-request,3579,629,4208,0.8505228136882129,1850.301887501,2.274223481273796,9179.632315535224,394.39888427374564,0.303351162,1.756544148,2.662517807,5.22204909,0.5681888095834032,1.600087011,4.856807071,24.095548507,9.45796890551181,19.467102173228348,4745.764459346186,203.89969265157865,16985091,False
prefix-cache,3578,630,4208,0.8502851711026616,1878.08278739,2.2405828051104826,9018.14824869215,394.7786567121316,0.316339332,1.631503967,2.860055879,34.33971353,0.5609781949972051,1.780076605,5.926104078,33.367640588,10.552155487804878,23.4401761496063,4733.602291783119,207.21827836780324,16936829,False
random,3575,633,4208,0.8495722433460076,1820.675264891,2.3112303886063525,9343.366896907026,400.67002285752096,0.335869592,1.763086431,2.612041971,30.928586223,0.6044482113381818,1.706263276,5.632787335,30.920976944,9.9913248,22.90783946456693,4758.387972027972,204.05314685314684,17011237,False
simple-session-affinity,3570,638,4208,0.848384030418251,1815.044815982,2.3184000543387855,9371.157588082762,391.78095975292547,0.396401811,2.080111988,4.916846351,36.603104736,0.7909011905579831,2.020865065,6.396403705,28.631984186,11.345583047244094,22.24224657480315,4764.445658263306,199.187675070028,17009071,False
