policy,ok,fail,sent,success_rate,elapsed_s,rps,input_tok_s,output_tok_s,ttft_p50,ttft_p95,ttft_p99,ttft_max,ttft_avg,e2e_p50,e2e_p95,e2e_p99,itl_p50,itl_p95,avg_input_tokens,avg_output_tokens,total_input_tokens,partial
gorgo-autotune,4070,747,4817,0.8449242266971144,1860.807478991,2.5886611346875923,8533.746870262232,494.3144362783641,0.300746355,1.813695746,2.766906036,5.118392674,0.5609326580353808,2.109586745,6.880771395,39.384012236,12.70785331496063,28.318173824742267,3901.6363636363635,226.0009828009828,15879660,False
gorgo-hillclimb,4067,750,4817,0.8443014324268217,1843.00281171,2.6136693711989647,8609.201732730004,476.19786276164257,0.303836224,1.7158031,3.130734886,37.174420628,0.5685913115461028,1.970106701,7.138404564,33.299018,11.722730490566038,28.582044937007876,3901.3481681829358,215.79395131546593,15866783,False
gorgo-static,4080,737,4817,0.8470002075980901,1866.4235766620002,2.580871812932705,8470.115893131422,466.3051897128982,0.314142726,1.794115063,3.138257501,55.268870515,0.6119899877149511,2.115609399,9.297625317,36.058714097,12.639148228346455,30.60417211023622,3874.711764705882,213.31446078431372,15808824,False
least-load,4063,754,4817,0.8434710400664314,1858.667935724,2.591640985146522,8540.139793080865,465.86966039348516,0.316811927,1.773288472,2.762696345,15.287593841,0.581190387083682,2.048579701,8.227843619,33.036694886,12.11652601574803,28.169000346456695,3906.789072114201,213.11764705882354,15873284,False
least-request,4078,739,4817,0.846585011417895,1858.2175737300001,2.5922691013683807,8558.120009638167,484.08055801257944,0.293707734,1.6712662,2.497328641,5.686826457,0.5152170762064738,1.650274417,7.996947474,38.368094616,10.193575228346456,24.873296598425195,3899.668710152035,220.58043158410985,15902849,False
prefix-cache,4076,741,4817,0.8461698152376999,1880.5550547789999,2.56147778697502,8472.56077906873,484.247455391312,0.31941918,1.815015545,4.860209568,30.578046373,0.6698214538469087,1.93607809,11.839791005,36.676547703,11.712234700787402,27.626525386554622,3909.0080961727185,223.41854759568204,15933117,False
random,4064,753,4817,0.843678638156529,1870.5456624679998,2.575184394934495,8447.552132542674,483.97321603234974,0.297587848,1.769012958,3.266460709,29.498871501,0.6068780124402067,1.69309863,8.75771503,37.343215971,10.320123984251968,25.120266685039372,3888.172244094488,222.7593503937008,15801532,False
simple-session-affinity,4059,758,4817,0.8426406477060411,1846.8572860729998,2.608214525466913,8601.48540972434,488.2077282306917,0.318322386,1.499162751,4.079312346,45.045655818,0.6253236741980783,1.994736789,6.593887376,40.275060692,11.98830246456693,19.664815283464566,3913.70189701897,222.1359940872136,15885716,False
